LocalAuthorityName	SiteCode	SiteName	SiteType	DateClosed	DateOpened	Latitude	Longitude
Kensington and Chelsea	KG1	Kensington and Chelsea - Green Screen RS	Roadside	2014-10-31 00:00:00	2013-10-30 00:00:00	51.4894131144322	-0.193640886158949
Kensington and Chelsea	KC4	Kensington and Chelsea - Kings Road	Roadside	2017-10-26 00:00:00	2000-09-27 14:15:00	51.48743685	-0.168397129
Kensington and Chelsea	KC3	Kensington and Chelsea - Knightsbridge	Roadside	2017-10-26 00:00:00	2000-03-28 11:30:00	51.49913951	-0.164337605
Kensington and Chelsea	KC1	Kensington and Chelsea - North Ken	Urban Background		1995-03-17 00:00:00	51.5210467476039	-0.213492139585065
Kensington and Chelsea	KC7	Kensington and Chelsea - North Ken FDMS	Urban Background	2018-03-01 00:00:00	2003-11-21 00:00:00	51.5210467476039	-0.213492139585065
Kensington and Chelsea	KF1	Kensington and Chelsea - North Ken FIDAS	Urban Background		2017-02-20 00:00:00	51.5210467476039	-0.213492139585065
Kensington and Chelsea	WE0	Kensington and Chelsea - Pembroke Road	Urban Background	2007-09-30 00:00:00	1987-01-01 00:00:00	51.4942847451596	-0.199340350918702
Kingston	KT1	Kingston - Chessington	Suburban	2008-07-07 12:00:00	1996-01-24 14:00:00	51.3566466913867	-0.316770841962737
Kingston	A30	Kingston - Kingston Bypass A3	Roadside	2007-09-30 00:00:00	1997-03-20 00:00:00	51.373553348648	-0.291969827871431
Kingston	KT2	Kingston - Town Centre	Roadside	2000-06-23 08:45:00	1996-04-26 06:00:00	51.4144307605309	-0.301706822060131
Kingston	KT5	Kingston Upon Thames - Cromwell Road	Roadside		2018-03-12 00:00:00	51.412308	-0.29658478
Kingston	KT6	Kingston Upon Thames - Kingston Vale	Roadside		2018-03-12 00:00:00	51.4355006647773	-0.257029893767993
Kingston	KT3	Kingston Upon Thames - Sopwith Way	Roadside	2016-07-13 00:00:00	2015-03-10 00:00:00	51.413691	-0.302269
Kingston	KT4	Kingston Upon Thames - Tolworth Broadway	Roadside		2015-04-13 00:00:00	51.379312	-0.281259
Lambeth	LB5	Lambeth - Bondway Interchange	Industrial		2005-02-01 00:00:00	51.4854867739729	-0.124545234819213
Lambeth	LB4	Lambeth - Brixton Road	Kerbside		2003-12-18 00:00:00	51.464113541162	-0.11458102695123
Lambeth	LB1	Lambeth - Christchurch Road	Roadside	2010-12-02 00:00:00	2000-09-24 09:00:00	51.444249	-0.121731
Lambeth	LB3	Lambeth - Loughborough Junct	Urban Background	2010-12-20 00:00:00	2001-12-19 11:00:00	51.464866	-0.099161
Lambeth	LB6	Lambeth - Streatham Green	Urban Background		2009-08-17 00:00:00	51.4282131429499	-0.13186863879576
Lambeth	LB2	Lambeth - Vauxhall Cross	Roadside	2003-07-01 00:00:00	2001-12-19 15:00:00	51.4849123099475	-0.125173736606014
